country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Bihar,Patna,"Muradpur, Patna - BSPCB","05-10-2025 09:00:00",25.619651,85.147382,SO2,9,10,10
India,Bihar,Purnia,"Mariam Nagar, Purnia - BSPCB","05-10-2025 09:00:00",25.366336,87.117468,PM10,NA,NA,NA
India,Bihar,Rajgir,"Dangi Tola, Rajgir - BSPCB","05-10-2025 09:00:00",25.03280,85.41948,NH3,6,7,6
India,Bihar,Samastipur,"DM Office_Kasipur, Samastipur - BSPCB","05-10-2025 09:00:00",25.859655,85.77944,SO2,18,30,24
India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB","05-10-2025 09:00:00",25.592539,85.227158,PM2.5,21,40,30
India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB","05-10-2025 09:00:00",25.592539,85.227158,NO2,14,19,16
India,Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB","05-10-2025 09:00:00",25.610369,85.132568,PM2.5,55,78,68
India,Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB","05-10-2025 09:00:00",25.610369,85.132568,SO2,1,25,19
India,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB","05-10-2025 09:00:00",26.1209,85.3647,PM2.5,22,32,26
India,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB","05-10-2025 09:00:00",26.1209,85.3647,SO2,4,5,4
India,Bihar,Katihar,"Mirchaibari, Katihar - BSPCB","05-10-2025 09:00:00",25.560083,87.553265,SO2,16,27,23
India,Bihar,Katihar,"Mirchaibari, Katihar - BSPCB","05-10-2025 09:00:00",25.560083,87.553265,CO,67,103,80
India,Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB","05-10-2025 09:00:00",26.0881305,87.93840336,NH3,3,3,3
India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB","05-10-2025 09:00:00",25.586562,85.043586,OZONE,NA,NA,NA
India,Bihar,Patna,"Muradpur, Patna - BSPCB","05-10-2025 09:00:00",25.619651,85.147382,PM10,NA,NA,NA
India,Bihar,Patna,"Muradpur, Patna - BSPCB","05-10-2025 09:00:00",25.619651,85.147382,NO2,NA,NA,NA
India,Chhattisgarh,Raipur,"Bhatagaon New ISBT, Raipur - CECB","05-10-2025 09:00:00",21.219665,81.630094,PM10,14,37,25
India,Chhattisgarh,Raipur,"Bhatagaon New ISBT, Raipur - CECB","05-10-2025 09:00:00",21.219665,81.630094,NO2,7,17,11
India,Chhattisgarh,Raipur,"Bhatagaon New ISBT, Raipur - CECB","05-10-2025 09:00:00",21.219665,81.630094,SO2,4,6,5
India,Chhattisgarh,Raipur,"Bhatagaon New ISBT, Raipur - CECB","05-10-2025 09:00:00",21.219665,81.630094,CO,12,37,15
India,Chhattisgarh,Raipur,"Bhatagaon New ISBT, Raipur - CECB","05-10-2025 09:00:00",21.219665,81.630094,OZONE,8,19,11
India,Chhattisgarh,Raipur,"Krishak Nagar, Raipur - CECB","05-10-2025 09:00:00",21.237755,81.705301,NO2,NA,NA,NA
India,Chhattisgarh,Raipur,"Krishak Nagar, Raipur - CECB","05-10-2025 09:00:00",21.237755,81.705301,NH3,NA,NA,NA
India,Chhattisgarh,Raipur,"Krishak Nagar, Raipur - CECB","05-10-2025 09:00:00",21.237755,81.705301,OZONE,NA,NA,NA
India,Chhattisgarh,Raipur,"Siltara Phase-II, Raipur - CECB","05-10-2025 09:00:00",21.371751,81.664929,CO,12,36,31
India,Chhattisgarh,Korba,"Urja Nagar, Korba - CECB","05-10-2025 09:00:00",22.348441,82.549611,OZONE,35,36,36
India,Chhattisgarh,Kunjemura,"OP Jindal School, Kunjemura - CECB","05-10-2025 09:00:00",22.126650,83.483212,PM10,7,36,17
India,Chhattisgarh,Kunjemura,"OP Jindal School, Kunjemura - CECB","05-10-2025 09:00:00",22.126650,83.483212,SO2,1,11,4
India,Delhi,Delhi,"Aya Nagar, Delhi - IMD","05-10-2025 09:00:00",28.4706914,77.1099364,PM10,71,164,119
India,Delhi,Delhi,"Aya Nagar, Delhi - IMD","05-10-2025 09:00:00",28.4706914,77.1099364,CO,34,58,48
India,Delhi,Delhi,"Bawana, Delhi - DPCC","05-10-2025 09:00:00",28.776200,77.051074,CO,47,78,58
India,Chhattisgarh,Korba,"Rampur, Korba - CECB","05-10-2025 09:00:00",22.368195,82.746431,PM2.5,11,11,11
India,Chhattisgarh,Korba,"Urja Nagar, Korba - CECB","05-10-2025 09:00:00",22.348441,82.549611,PM2.5,16,22,17
India,Chhattisgarh,Milupara,"Govt. Higher Secondary School, Milupara - CECB","05-10-2025 09:00:00",22.1910172,83.5197009,PM10,NA,NA,NA
India,Chhattisgarh,Milupara,"Govt. Higher Secondary School, Milupara - CECB","05-10-2025 09:00:00",22.1910172,83.5197009,SO2,NA,NA,NA
India,Delhi,Delhi,"Alipur, Delhi - DPCC","05-10-2025 09:00:00",28.815329,77.153010,NO2,11,43,27
India,Delhi,Delhi,"Alipur, Delhi - DPCC","05-10-2025 09:00:00",28.815329,77.153010,NH3,3,6,4
India,Chhattisgarh,Bilaspur,"Mangala, Bilaspur - NTPC","05-10-2025 09:00:00",22.08815,82.13737,PM2.5,4,30,14
India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC","05-10-2025 09:00:00",28.695381,77.181665,CO,24,75,60
India,Chhattisgarh,Raipur,"AIIMS, Raipur - CECB","05-10-2025 09:00:00",21.258815,81.578979,NH3,5,5,5
India,Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC","05-10-2025 09:00:00",28.498571,77.264840,CO,1,104,23
India,Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC","05-10-2025 09:00:00",28.498571,77.264840,OZONE,6,92,14
India,Delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC ","05-10-2025 09:00:00",28.5710274,77.0719006,NO2,25,120,63
India,Delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC ","05-10-2025 09:00:00",28.5710274,77.0719006,OZONE,15,95,17
India,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB","05-10-2025 09:00:00",28.6811736,77.3025234,PM10,125,169,146
India,Delhi,Delhi,"Major Dhyan Chand National Stadium, Delhi - DPCC","05-10-2025 09:00:00",28.611281,77.237738,CO,4,103,42
India,Delhi,Delhi,"Mandir Marg, Delhi - DPCC","05-10-2025 09:00:00",28.636429,77.201067,NO2,2,91,26
India,Delhi,Delhi,"Mandir Marg, Delhi - DPCC","05-10-2025 09:00:00",28.636429,77.201067,CO,20,74,47
India,Delhi,Delhi,"Mundka, Delhi - DPCC","05-10-2025 09:00:00",28.684678,77.076574,PM10,78,320,170
India,Delhi,Delhi,"Burari Crossing, Delhi - IMD","05-10-2025 09:00:00",28.7256504,77.2011573,NO2,5,32,22
India,Delhi,Delhi,"Burari Crossing, Delhi - IMD","05-10-2025 09:00:00",28.7256504,77.2011573,OZONE,12,150,24
India,Delhi,Delhi,"CRRI Mathura Road, Delhi - IMD","05-10-2025 09:00:00",28.5512005,77.2735737,OZONE,13,224,20
India,Delhi,Delhi,"DTU, Delhi - CPCB","05-10-2025 09:00:00",28.7500499,77.1112615,NO2,23,71,41
India,Delhi,Delhi,"Najafgarh, Delhi - DPCC","05-10-2025 09:00:00",28.570173,76.933762,PM2.5,52,243,109
India,Delhi,Delhi,"Najafgarh, Delhi - DPCC","05-10-2025 09:00:00",28.570173,76.933762,SO2,10,16,13
India,Delhi,Delhi,"Najafgarh, Delhi - DPCC","05-10-2025 09:00:00",28.570173,76.933762,CO,23,41,35
India,Delhi,Delhi,"Narela, Delhi - DPCC","05-10-2025 09:00:00",28.822836,77.101981,SO2,1,14,5
India,Delhi,Delhi,"Lodhi Road, Delhi - IITM","05-10-2025 09:00:00",28.588333,77.221667,PM10,53,110,88
India,Delhi,Delhi,"Lodhi Road, Delhi - IITM","05-10-2025 09:00:00",28.588333,77.221667,SO2,2,13,6
India,Delhi,Delhi,"Lodhi Road, Delhi - IMD","05-10-2025 09:00:00",28.5918245,77.2273074,PM10,86,158,113
India,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB","05-10-2025 09:00:00",28.6811736,77.3025234,NH3,2,3,2
India,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB","05-10-2025 09:00:00",28.6811736,77.3025234,SO2,19,33,25
India,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB","05-10-2025 09:00:00",28.6811736,77.3025234,OZONE,10,20,13
India,Delhi,Delhi,"Jahangirpuri, Delhi - DPCC","05-10-2025 09:00:00",28.732820,77.170633,NO2,31,91,57
India,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC","05-10-2025 09:00:00",28.580280,77.233829,PM2.5,58,213,114
